farmid,ly,lland,llabor,lfeed,lcattle,comp,TE_Score
1,13.39991,5.913503,8.116715,11.81329,3.738146,5.5301732,0.9389856164325814
2,12.7546,5.749393,8.377011,11.23934,3.185112,8.7195062,0.8415656410230484
3,13.29476,5.568345,8.639941,12.47085,3.456317,7.3107813,0.91946427240521
4,12.93306,5.517453,8.513787,11.94743,3.273743,9.7523719,0.8362590524815805
5,12.88653,5.521461,8.245384,11.7198,3.233173,5.542456,0.8717099958223762
6,12.3244,5.220356,8.039157,10.76608,2.704042,5.4151711,0.885382283069512
7,12.64947,5.53339,8.507143,11.73006,3.210844,5.4381893,0.6977462575348239
8,12.93197,5.463832,8.24144,11.81834,3.249211,7.0178745,0.8856233860873745
9,12.76678,5.575949,7.997999,11.5242,2.992226,5.5165674,0.9375317724286951
10,12.01533,5.209486,7.685703,11.70607,2.930126,5.2644861,0.5229888846789118
11,12.68083,5.204007,8.307213,11.87615,3.062923,6.589095,0.8005111411976739
12,12.78734,5.26269,7.88871,11.8121,3.015045,5.9515314,0.9294251030218309
13,12.46643,5.135798,8.40066,11.14021,2.8088,6.5361965,0.8631672685222617
14,12.36904,5.247024,8.182,11.3051,2.906901,11.857831,0.7370169470279607
15,12.72002,5.587249,7.8842,11.67347,2.885917,6.0589248,0.9451236993454598
16,13.01148,5.768321,8.225503,12.00533,3.461037,5.6921749,0.8003269951865235
17,12.98774,5.713733,8.043663,12.11068,3.466673,8.6737973,0.7838002849722902
18,13.11334,5.774551,8.143517,11.88475,3.399863,5.4225458,0.9196402288649356
19,12.8999,5.32301,8.236156,12.17078,3.287282,5.6735544,0.8057436353727845
20,12.12214,4.804021,7.603399,11.02546,2.466403,6.8206068,0.8829915214012224
21,13.447,5.743003,8.32821,12.44903,3.63125,6.6811743,0.9422670739247356
22,13.32387,5.739793,8.271037,12.43752,3.666378,7.6902394,0.8627776509786784
23,12.43225,5.003946,7.827241,11.31416,2.952825,7.8283748,0.788427497412088
24,12.36547,5.429346,8.092851,11.8007,2.766319,5.1243708,0.7535909363320109
25,12.66796,4.634729,8.451054,11.96446,2.946542,8.0089472,0.8487039578421616
26,12.28223,4.70953,7.94094,11.66526,2.712042,6.6828791,0.7691987993729449
27,12.24517,5.303305,7.867488,11.39869,2.985177,4.9349244,0.6347663636243984
28,12.36204,4.787492,7.989561,11.04531,2.653242,6.485444,0.917224988604599
29,11.89829,4.248495,7.826443,11.14518,2.164472,6.9050867,0.8689374916561393
30,12.42645,5.278115,8.110427,11.4215,2.904165,12.012641,0.7691193172839824
